,0,1,2,3,4,5
0,asteroid_integration_00129.sa,59.272202,59.02514022391178,-213.85631578862058,113.80523466426482,57.869058778787185
1,asteroid_integration_00083.sa,40.350059,39.83372144379104,40.97782005749213,38.68239834168682,75.42250172089905
2,asteroid_integration_00086.sa,116.870882,112.93809472897524,221.63122815383906,-19450.954506693575,111.78262387954082
3,asteroid_integration_00003.sa,43.858531,43.56998611560251,-165.50366733238278,82.89596812664361,58.896914305165375
4,asteroid_integration_00042.sa,40.068577,39.482583803496816,74.71972404722695,-132.65864235822502,40.64380748497033
5,asteroid_integration_00090.sa,140.79073,147.74725323621777,147.95103417919148,147.49963120828514,-12681.143822873593
6,asteroid_integration_00126.sa,40.851255,40.35650546401277,41.51099676669259,39.2012612187702,-8877.127594864358
7,asteroid_integration_00130.sa,42.767646,43.90784367463586,43.595444628478994,44.228396468838966,-183.12154016003947
8,asteroid_integration_00189.sa,39.382801,38.917105979903646,-10824.332383586941,-10236.673888306259,591.9035238520927
9,asteroid_integration_00053.sa,53.391957,52.943149051671135,53.674756836697306,53.30512919966244,52.55830671662011
10,asteroid_integration_00098.sa,40.644195,40.25496882239051,-163.4541246242551,39.495951393325036,41.01524907779393
11,asteroid_integration_00070.sa,45.157846,44.75454326853424,-148.78821979381803,44.34195630917698,45.210002615296105
12,asteroid_integration_00135.sa,41.708511,41.186173672033874,78.12732682418917,40.03046885031669,42.342064002155986
13,asteroid_integration_00181.sa,69.969963,72.75943053008844,72.5494094590232,72.99025892033737,-249.52829745080297
14,asteroid_integration_00195.sa,67.199805,67.08991278045501,66.71426617725606,67.40438183481403,66.00359072722394
15,asteroid_integration_00141.sa,43.86667,43.56139073579297,-153.42220055828113,72.15414241345886,14.96864121487997
16,asteroid_integration_00202.sa,92.536399,93.18536065222331,92.2741158285368,91.92313013647453,91.79212432102047
17,asteroid_integration_00088.sa,59.655032,59.41384995299274,-187.01921299805576,-13527.320998127378,10811.276385692801
18,asteroid_integration_00063.sa,38.241487,37.68253933610566,38.138143463239125,37.22571194681484,-120.37587854689642
19,asteroid_integration_00101.sa,45.393596,45.028274811079626,-141.3801378828258,66.86654729958167,23.189996005370055
20,asteroid_integration_00164.sa,16.981164,16.567043599809214,16.30734035346506,15.968487729968057,15.755420143092
21,asteroid_integration_00076.sa,250.751223,268.38320236664293,263.25762580697017,282.5920266558204,261.7963837544693
22,asteroid_integration_00116.sa,63.301256,62.626026461048646,121.0070189475033,-13683.315584339904,61.47048351274672
23,asteroid_integration_00044.sa,41.28783,40.69185595429592,77.13882988279924,39.53433953133043,41.85259155467512
24,asteroid_integration_00019.sa,41.875606,41.37804366971386,78.51110062087695,40.22245096418591,42.533649460986126
25,asteroid_integration_00024.sa,132.108471,140.51311225882347,140.21083144967284,140.74673838252514,140.39382732567228
26,asteroid_integration_00175.sa,287.311257,332.13209843667255,332.62327745902996,333.2348897103686,332.3258689187177
27,asteroid_integration_00121.sa,168.152378,165.2811265393245,17182.082530317035,17181.72154482709,17181.56415011224
28,asteroid_integration_00071.sa,16.12619,16.233515880257837,16.555718162700764,15.934223476712361,16.843100260555303
29,asteroid_integration_00017.sa,43.752221,43.68905678469191,42.53332083450432,83.13311824274697,44.84483298352775
30,asteroid_integration_00123.sa,53.737559,53.51567126972629,53.748452917653935,53.94213499461318,54.10499242024329
31,asteroid_integration_00166.sa,47.211558,46.866242491656706,-162.10398794475626,89.48741956693785,78.14746295138877
32,asteroid_integration_00057.sa,90.503065,86.97245340634365,-236.76397573402363,-13453.578479004063,-13453.999291696256
33,asteroid_integration_00108.sa,316.153755,511.76591580985803,511.95803865963785,-3655.3371362587127,512.3589228015994
34,asteroid_integration_00139.sa,55.191886,56.1353323612812,-198.62935332203043,108.025495892621,60.02740523866273
35,asteroid_integration_00020.sa,40.87949,40.29376455909765,52.29701661361612,76.34312253114089,41.4510689666429
36,asteroid_integration_00142.sa,40.530926,40.28187355812034,76.31804371290836,39.129866133768346,41.43527384151801
37,asteroid_integration_00178.sa,41.3583,40.89228176892352,42.04833045933022,39.73764475081162,-8229.725270098552
38,asteroid_integration_00093.sa,55.047852,55.03352814989191,-177.41884674969018,9462.75556417245,105.82200928132053
39,asteroid_integration_00079.sa,41.788463,41.221843548851965,78.19866556459154,40.06697590988381,42.376191200688915
40,asteroid_integration_00005.sa,52.50647,51.81777331590276,53.15024455397368,52.6961992968032,51.37417909726259
41,asteroid_integration_00103.sa,56.912352,56.603681983125995,56.2301136095757,56.45470267071101,56.053223223114195
42,asteroid_integration_00186.sa,31.333263,30.814632837970777,-104.80076447583153,41.46752757161316,17.588170683592693
43,asteroid_integration_00026.sa,55.386894,54.95807127029656,54.65274777426269,55.27271451183435,3165.2942421705193
44,asteroid_integration_00078.sa,49.219787,48.87957761193599,49.20827286443849,49.016994507025835,48.527163394574366
45,asteroid_integration_00173.sa,45.773287,45.553874891118696,-164.24490893809818,78.56171979330817,12.54602648683955
46,asteroid_integration_00158.sa,71.180701,70.93478915929056,-1900.4311210962114,16651.05722097261,69.77911257688153
47,asteroid_integration_00117.sa,54.128097,53.90781556431398,-177.86610568771496,12470.983681189848,-152.20232720977594
48,asteroid_integration_00138.sa,42.146845,41.68943935462822,79.13386329708973,40.53385564924582,42.845044272861195
49,asteroid_integration_00060.sa,39.826789,39.21807353808473,74.19059906680064,50.1909351489004,38.062085442138866
50,asteroid_integration_00120.sa,105.086426,108.16861027106778,108.42886079283235,108.29146921823397,107.94460445004428
